message,sentiment,avg_noun_sentiment,avg_verb_sentiment,avg_adverb_sentiment,avg_adjective_sentiment,avg_na_sent,avg_tot_sent,sum_noun_sentiment,sum_verb_sentiment,sum_adverb_sentiment,sum_adjective_sentiment,last_punctuation,comma_count,._count,",_count",!_count
im gay,0.0,0.1,0.0,0.0,0.234375,0.0,0.1671875,0.1,0,0,1,,0.0,0.0,0.0,0.0
chicken thigh or breast,0.0,-0.026041666666666668,0.0,0.0,-0.109375,0.0,-0.046875,-0.078125,0,0,1,?,1.0,0.0,0.0,0.0
clogs the arteries over time,-0.5,-0.331298828125,0.0,0.0,0.005859375,0.0,-0.24700927734375,-0.993896484375,0,0,1,,0.0,0.0,0.0,0.0
shaquille oneal is a dubstep dj,0.5,0.2875,0.0,0.0,0.0,0.0,0.2875,1.4375,0,0,0,,0.0,0.0,0.0,0.0
red meat is good,0.5,0.0625,0.0,0.0,0.0974744418635964,0.0,0.08581629457573092,0.0625,0,0,2,,0.0,0.0,0.0,0.0
yooooo legend how u doing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,?,3.0,0.0,0.0,0.0
bowling stream this week penguinz,0.0,-0.0166015625,0.0,0.0,0.0,0.0,-0.0166015625,-0.06640625,0,0,0,?,1.0,0.0,0.0,0.0
can you watch okis weird storys please   its be super nice,0.5,0.2576416015625,0.0,0.09375,0.10807291666666667,0.0,0.1895751953125,1.2882080078125,0,1,3,,0.0,0.0,0.0,0.0
did you see the news about the missouri mom putting her baby in an oven,-0.5,0.09296424686908722,0.0,0.0,0.0009765625,0.0,0.07456670999526978,0.7437139749526978,0,0,2,?,1.0,0.0,0.0,0.0
sup charlie,0.5,-0.008928571428571452,0.0,0.0,0.0,0.0,-0.008928571428571452,-0.017857142857142905,0,0,0,,0.0,0.0,0.0,0.0
im loosing myself im not sure how much longer i can continue down a path of dissao,-0.5,-0.05178571428571428,-0.25,-0.625,0.1257651928961277,0.0,-0.07031708774396352,-0.3625,2,1,4,,0.0,0.0,0.0,0.0
are you gonna actually do anything,-0.5,-0.2083218892415364,0.0,0.0625,0.0,0.0,-0.14061641693115232,-0.6249656677246093,0,1,0,,0.0,0.0,0.0,0.0
devin booker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,?,1.0,0.0,0.0,0.0
have you ever  crash bandicoot,0.0,-0.09679762522379558,0.0,0.0,0.0,0.0,-0.07259821891784668,-0.2903928756713867,0,1,0,,0.0,0.0,0.0,0.0
supererrrrrr rigged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,,0.0,0.0,0.0,0.0
play dark souls,0.0,0.03161638972267155,0.0,0.0,-0.236358642578125,0.0,-0.05770862104426063,0.0632327794453431,0,0,1,,0.0,0.0,0.0,0.0
did you see the hhvaush horse stuff,0.5,0.13307586312294006,0.0,0.0,0.0,0.0,0.13307586312294006,0.5323034524917603,0,0,0,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
look up mr hands,0.0,0.031077067057291668,0.0,0.0,0.0537109375,0.0,0.03673553466796875,0.093231201171875,0,0,1,.,0.0,1.0,0.0,0.0
didnt watch stupid human faulty body landed me in the er,-0.5,0.087646484375,-0.0833333333333333,0.0,-0.065625,0.0,-0.006087239583333332,0.3505859375,1,0,5,.,0.0,1.0,0.0,0.0
can you do a moist meter for lies of p,0.0,-0.05902205573187932,0.0,0.0,0.0,0.0,-0.05059033348446799,-0.3541323343912759,0,0,1,,0.0,0.0,0.0,0.0
tata byyo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0
yoo wsg penguin,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.75,0,0,0,,0.0,0.0,0.0,0.0
do a backflip,0.0,-0.062488555908203104,0.0,0.0,0.0,0.0,-0.062488555908203104,-0.18746566772460932,0,0,0,,0.0,0.0,0.0,0.0
have u heard about helldivers,0.0,-0.0622267723083496,0.0,0.0,0.042317708333333336,0.0,0.000499916076660159,-0.1244535446166992,0,0,3,?,1.0,0.0,0.0,0.0
are you watching frieren beyond journeys end,0.0,0.1,0.0,0.0,0.0,0.0,0.08333333333333333,0.5,0,1,0,?,1.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
k would change my life,0.5,0.00813519954681395,-0.1666666666666666,0.0,0.0,0.0,-0.037599066893259675,0.0162703990936279,1,0,1,,0.0,0.0,0.0,0.0
thoughts on halftime show,0.0,0.015666961669921865,0.0,0.0,0.03125,0.0,0.0195627212524414,0.0470008850097656,0,0,1,?,1.0,0.0,0.0,0.0
why am i still getting ads mid stream if im subbed,-0.5,-0.05913318452380952,-0.375,0.0,-0.023945490519205703,0.0,-0.08016355787004742,-0.3547991071428571,1,0,3,,0.0,0.0,0.0,0.0
charlie will you do a moist meter on persona  reloaded,0.0,-0.012736093430292035,0.0,0.0,0.015625,0.0,-0.005018506731305801,-0.07641656058175221,1,0,2,?,1.0,0.0,0.0,0.0
what did you think about the super bowl commercials,0.0,-0.0001220703125,0.0,0.0,0.0048828125,0.0,0.0018798828125,-0.0003662109375,0,0,2,?,1.0,0.0,0.0,0.0
caught up on skibidi toilet lore,0.0,0.041666666666666664,0.0,0.0,0.04248046875,0.0,0.034993489583333336,0.125,1,0,2,?,1.0,0.0,0.0,0.0
tell the moist gang i love them and good luck with ur next banger vid i love them,0.5,0.25592041015625,0.0,0.0,0.02766165174543856,0.0,0.1681285799982456,2.04736328125,0,0,5,,0.0,0.0,0.0,0.0
yeah what happened to claw machine i think i missed out some news,0.0,0.015533447265625,-0.25,0.0,-0.08016433715820312,0.0,-0.05351708152077415,0.0621337890625,1,1,5,?,1.0,0.0,0.0,0.0
charlie you need to take a dive into cobrajfss mead making,0.0,0.011745027133162198,0.0,0.0,0.0,0.0,0.011745027133162198,0.09396021706529759,0,0,0,comma,0.0,0.0,1.0,0.0
hanforth council is the one where jackie weaver does a council coup lol,0.0,0.06216032608695651,0.0,0.0,0.00439453125,0.0,0.05574190443840579,0.4972826086956521,0,0,1,,0.0,0.0,0.0,0.0
play dark souls,0.0,0.03161638972267155,0.0,0.0,-0.236358642578125,0.0,-0.05770862104426063,0.0632327794453431,0,0,1,,0.0,0.0,0.0,0.0
fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list,0.0,0.06640625,0.0,0.0,0.0,0.0,0.06640625,2.390625,0,0,0,,0.0,0.0,0.0,0.0
watch deadpool trailer pleease,0.0,0.072021484375,0.0,0.0,0.0,0.0,0.072021484375,0.2880859375,0,0,0,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
super bowling,0.5,0.0,0.0,0.0,0.0078125,0.0,0.00390625,0.0,0,0,1,,0.0,0.0,0.0,0.0
did you see the hhvaush horse stuff,0.5,0.13307586312294006,0.0,0.0,0.0,0.0,0.13307586312294006,0.5323034524917603,0,0,0,,0.0,0.0,0.0,0.0
i thought u were hyped abt the new release,-0.5,-0.17710256576538086,0.0,0.0,0.014851888020833334,0.0,-0.06953600474766322,-0.5313076972961426,1,0,3,,0.0,0.0,0.0,0.0
i bet youd find fear and hunger interesting,-0.5,-0.18681392669677735,0.0,0.0,0.171875,0.0,-0.08433137621198382,-0.9340696334838867,0,0,2,,0.0,0.0,0.0,0.0
we buy chicken at the store what,0.0,0.08984375,0.0,0.0,-0.109375,0.0,0.0400390625,0.26953125,0,0,1,!,2.0,0.0,0.0,1.0
im getting a motorcycle im happy,1.0,0.027500000000000004,0.0,0.0,0.578125,0.0,0.11927083333333333,0.1375,0,0,1,,0.0,0.0,0.0,0.0
what about basketball,0.0,0.0,0.0,0.0,0.001953125,0.0,0.0009765625,0.0,0,0,1,?,1.0,0.0,0.0,0.0
u bowl,0.0,-0.0078125,0.0,0.0,0.0,0.0,-0.00390625,-0.0078125,0,0,1,?,1.0,0.0,0.0,0.0
if i wanna bulk eat red meat and cooked vegetables,0.0,0.020833333333333332,0.125,0.0,-0.022786458333333332,0.0,0.017020089285714284,0.0625,1,0,3,comma,0.0,0.0,1.0,0.0
have you seen satire of justin bieber,0.0,-0.0311133861541748,0.0,0.0,0.0,0.0,-0.02489070892333984,-0.1244535446166992,1,0,0,,0.0,0.0,0.0,0.0
the chiefs dude who slapped a ers player and earned his team a penalty,-0.5,-0.07349537037037036,-0.5,0.0,0.125,0.0,-0.09422348484848485,-0.6614583333333333,1,0,1,,0.0,0.0,0.0,0.0
how do u feel about the gamertag astralfrostbitedemondeity,0.0,-0.024132251739501953,0.0,0.0,0.0009765625,0.0,-0.0157626469930013,-0.09652900695800781,0,0,2,,0.0,0.0,0.0,0.0
is helldivers  worth it,0.0,0.0,0.0,0.0,0.109375,0.0,0.036458333333333336,0.0,0,0,1,?,1.0,0.0,0.0,0.0
bowling for soup,0.0,-0.0234375,0.0,0.0,0.0,0.0,-0.0234375,-0.046875,0,0,0,,0.0,0.0,0.0,0.0
helldivers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0
did usher make a gojo reference at halftime,0.0,0.02790178997812686,0.0,0.0,0.0,0.0,0.02790178997812686,0.19531252984688802,0,0,0,?,1.0,0.0,0.0,0.0
what did you think about the super bowl commercials,0.0,-0.0001220703125,0.0,0.0,0.0048828125,0.0,0.0018798828125,-0.0003662109375,0,0,2,?,1.0,0.0,0.0,0.0
have you seen somethingaboutchickens new video,0.0,-0.04148451487223307,0.0,0.0,0.0758056640625,0.0,-0.009729576110839841,-0.1244535446166992,1,0,1,,0.0,0.0,0.0,0.0
is it true youre going to build a bowling alley in the hq,0.0,0.011479591836734684,0.0,0.0,-0.026868184407552103,0.0,-2.474103655135118e-05,0.0803571428571428,0,0,3,?,1.0,0.0,0.0,0.0
going to sleep night charlie,0.5,0.02432105654761903,0.0,0.0,-0.1875,0.0,-0.028634207589285726,0.0729631696428571,0,0,1,comma,0.0,0.0,1.0,0.0
just buy a bowling ball and pins,0.0,0.04140625,0.0,0.0,0.172607421875,0.0,0.06327311197916667,0.20703125,0,0,1,,0.0,0.0,0.0,0.0
i love you charlie,1.0,0.42503138950892855,0.0,0.0,-0.03125,0.0,0.2729375930059524,0.8500627790178571,0,0,1,,0.0,0.0,0.0,0.0
didnt you watch the spongwbob half time,0.0,0.09806315104166667,-0.0833333333333333,0.0,-0.0234375,0.0,0.03748372395833334,0.294189453125,1,0,1,,0.0,0.0,0.0,0.0
as a tampa legend why wasnt mrcritikal asked to be in gta  since its in florida,0.0,-0.013875325520833334,-0.125,0.0,0.0,0.0,-0.026776994977678572,-0.1248779296875,2,0,2,.,0.0,1.0,1.0,0.0
you gotta do a backflip,0.0,-0.062488555908203104,0.0,0.0,0.0,0.0,-0.062488555908203104,-0.18746566772460932,0,0,0,,0.0,0.0,0.0,0.0
can you rent a trash truck for a day,0.0,0.005161830357142857,0.0,0.0,0.0,0.0,0.005161830357142857,0.0361328125,0,0,0,?,1.0,0.0,0.0,0.0
fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list,0.0,0.06640625,0.0,0.0,0.0,0.0,0.06640625,2.390625,0,0,0,,0.0,0.0,0.0,0.0
look up mike spark,0.0,0.037261962890625,0.0,0.0,0.0537109375,0.0,0.04137420654296875,0.111785888671875,0,0,1,,0.0,0.0,0.0,0.0
favorite home made meal,0.0,0.0,0.0,0.0,0.08203125,0.0,0.0615234375,0.0,0,0,3,?,1.0,0.0,0.0,0.0
crash twinsanity ost slaps,0.0,-0.0553131103515625,0.0,0.0,0.0,0.0,-0.041484832763671875,-0.1659393310546875,1,0,0,,0.0,0.0,0.0,0.0
cancer sucks tho dude just found out thats wat my mom died from liver cancer that lead to serosis,0.0,0.10777954650776725,-0.35416666666666663,0.0,0.0425558090209961,-0.03125,0.010256448553668128,0.7544568255543708,2,0,4,,0.0,0.0,0.0,0.0
when are you gonna ball vs the yard boys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,?,1.0,0.0,0.0,0.0
watching you for school rn,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0,0,0,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
overwatch is bs bru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0
please do another mini golf tournament,0.0,-0.04165522257486977,0.0,0.09375,-0.0625,0.0,-0.02603594462076822,-0.1249656677246093,0,1,2,,0.0,0.0,0.0,0.0
you see andrew callaghan got arrested,0.0,0.0005088249842325666,-0.1875,0.0,0.0,0.0,-0.07469470500946046,0.0015264749526977,2,0,0,?,1.0,0.0,0.0,0.0
hey charlie did you get a chance to see my tweet about making you a custom gundam,0.0,-0.00032424276676987565,0.0,0.0,0.060872395833333336,0.0,0.015001937113820083,-0.002593942134159005,0,0,3,?,1.0,0.0,1.0,0.0
you watch the game,0.0,0.2880859375,0.0,0.0,-0.000579833984375,0.0,0.1437530517578125,0.2880859375,0,0,1,?,1.0,0.0,0.0,0.0
helldivers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,?,1.0,0.0,0.0,0.0
chiefs won,0.5,0.0,0.0,0.0,-0.15625,0.0,-0.078125,0.0,0,0,1,,0.0,0.0,0.0,0.0
deadpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,!,0.0,0.0,0.0,12.0
devin booker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,?,1.0,0.0,0.0,0.0
did you see the hhvaush horse stuff,0.5,0.13307586312294006,0.0,0.0,0.0,0.0,0.13307586312294006,0.5323034524917603,0,0,0,,0.0,0.0,0.0,0.0
play dark souls,0.0,0.03161638972267155,0.0,0.0,-0.236358642578125,0.0,-0.05770862104426063,0.0632327794453431,0,0,1,,0.0,0.0,0.0,0.0
what did you think about the super bowl commercials,0.0,-0.0001220703125,0.0,0.0,0.0048828125,0.0,0.0018798828125,-0.0003662109375,0,0,2,?,1.0,0.0,0.0,0.0
more food dip reviews you still do them,0.0,-0.050772696733474704,0.0,0.0,-0.02029323577880855,0.0,-0.04061287641525265,-0.20309078693389881,0,0,2,?,2.0,0.0,0.0,0.0
mint mobile should i make the switch,0.0,0.128906264923444,0.0,0.0,-0.008138020833333334,0.0,0.0466796934693776,0.257812529846888,0,0,3,?,2.0,0.0,0.0,0.0
handforth is different,0.0,0.0,0.0,0.0,0.0546875,0.0,0.02734375,0.0,0,0,1,,0.0,0.0,0.0,0.0
mr penguin have you thought about making a comic book god tweet,0.0,-0.026849004957411025,0.0,0.0,0.0634765625,0.0,-0.01042617451060902,-0.24164104461669922,0,0,2,?,1.0,1.0,0.0,0.0
the halftime was mid,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,0.0,0.0,0.0,0.0
or just eat taco bell idgaf,-0.5,0.005208333333333333,0.125,0.0,0.172607421875,-0.5,-0.0311279296875,0.015625,1,0,1,,0.0,0.0,0.0,0.0
hey charlie did you get a chance to see my tweet about making you a custom gundam,0.0,-0.00032424276676987565,0.0,0.0,0.060872395833333336,0.0,0.015001937113820083,-0.002593942134159005,0,0,3,?,1.0,0.0,1.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
charlie doesnt deserve this lifestyle and i hate how all my labor was for nothing and my reward to is watch people like this live how i should be living life is so unfair and uncaring good night,-1.0,0.00847335088820684,0.625,0.0,0.07621862842804855,-0.75,0.028810776804822566,0.1016802106584821,1,0,9,.,0.0,3.0,0.0,0.0
have you seen an alligator snapping turtle,0.0,-0.0779883861541748,0.0,0.0,0.0,0.0,-0.05199225743611654,-0.3119535446166992,2,0,0,,0.0,0.0,0.0,0.0
why am i still getting ads mid stream if im subbed,-0.5,-0.05913318452380952,-0.375,0.0,-0.023945490519205703,0.0,-0.08016355787004742,-0.3547991071428571,1,0,3,,0.0,0.0,0.0,0.0
exactly why isnt charlie in gta vi,0.0,0.0357142857142857,0.0,0.125,0.0,0.0,0.033163265306122444,0.1071428571428571,0,1,2,,0.0,0.0,0.0,0.0
what about an abandoned bowling alley bring your own pins and ball,0.0,-0.025,0.123046875,0.0,0.021484375,0.0,0.006944444444444444,-0.125,1,0,3,?,1.0,0.0,0.0,0.0
so the chiefs won,0.0,0.0,0.0,0.0,-0.15625,0.0,-0.052083333333333336,0.0,0,0,1,?,1.0,0.0,0.0,0.0
thoughts on buck shot roulette,0.0,0.01953125,0.0,0.0,0.0770111083984375,0.0,0.042523193359375,0.05859375,0,0,2,?,1.0,0.0,0.0,0.0
gm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0
penguinz any update on the gamersupps claw machine,0.0,0.0,0.0,0.0,0.015625,0.0,0.004464285714285714,0.0,0,0,2,?,1.0,0.0,0.0,0.0
whered you get to in one piece,0.0,0.006869316559459506,0.0,0.0,0.002197265625,0.0,0.0036266328737838026,0.013738633118919012,0,0,2,,0.0,0.0,0.0,0.0
what do you think about devin booker,0.0,-0.029379844665527326,0.0,0.0,0.001953125,0.0,-0.02311325073242186,-0.1175193786621093,0,0,1,,0.0,0.0,0.0,0.0
charles did you see the alabama cell tower got stolen,0.0,0.01905529499053954,-0.125,0.0,0.0,0.0,-0.022103360721043186,0.0952764749526977,2,0,0,?,1.0,0.0,0.0,0.0
do you think black myth wukong is game of the year contender,0.0,-0.019586563110351552,0.0,0.0,-0.0199466049671173,0.0,-0.01967657357454299,-0.1175193786621093,0,0,2,,0.0,0.0,0.0,0.0
rigging nfl for them swiftards,0.0,-0.06666666666666667,0.0,0.0,0.0,0.0,-0.06666666666666667,-0.2,0,0,0,,0.0,0.0,0.0,0.0
wallis and grommet back at it,0.0,0.0,0.0,0.0,0.1723632793873548,0.0,0.03447265587747096,0.0,0,0,1,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
is a iphone  still good in,0.0,-0.15625,0.0,0.0,0.06382392905652523,0.0,-0.024205642566084862,-0.3125,0,0,3,,0.0,0.0,0.0,0.0
fought the new mid level boss in old school runescape scurrious,0.0,0.0625,0.0,0.0,0.011474688847859717,0.0,0.01938481330871583,0.125,1,0,6,?,1.0,0.0,1.0,0.0
remember the cheese wheel race,0.0,0.00016276041666666666,0.236328125,0.0,0.0,0.0,0.0592041015625,0.00048828125,1,0,0,,0.0,0.0,0.0,0.0
alex and james whatt,0.0,0.00048828125,0.0,0.0,0.0,0.0,0.0003255208333333333,0.0009765625,0,0,0,,0.0,0.0,0.0,0.0
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0
did you see vitality got their first rlcs loss,-0.5,0.1053265333175659,-0.25,0.0,0.0044136047363281,-0.5,-0.07160113255182904,0.3159795999526977,1,0,1,?,1.0,0.0,0.0,0.0
what do you do with the cheese,0.0,-0.08331044514973954,0.0,0.0,0.0,0.0,-0.08331044514973954,-0.2499313354492186,0,0,0,,0.0,0.0,0.0,0.0
did you see the hhvaush horse stuff,0.5,0.13307586312294006,0.0,0.0,0.0,0.0,0.13307586312294006,0.5323034524917603,0,0,0,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
rats fucking robbed them,-1.0,-1.0,-0.5454545454545454,0.0,0.03125,0.0,-0.5047348484848485,-1.0,1,0,1,,0.0,0.0,0.0,0.0
have you watched ninja kamui,0.0,-0.0622267723083496,0.0,0.0,0.0,0.0,-0.0311133861541748,-0.1244535446166992,1,0,0,,0.0,0.0,0.0,0.0
you eat it pf course,0.0,-0.00390625,0.125,0.0,0.0,0.0,0.029296875,-0.0078125,1,0,0,,0.0,0.0,0.0,0.0
can you do a moist meter for lies of p,0.0,-0.05902205573187932,0.0,0.0,0.0,0.0,-0.05059033348446799,-0.3541323343912759,0,0,1,,0.0,0.0,0.0,0.0
did you watch the spongebob halftime,0.0,0.09602864583333333,0.0,0.0,0.0,0.0,0.09602864583333333,0.2880859375,0,0,0,,0.0,0.0,0.0,0.0
